,CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
4,1628418,13,10,Less Than 10 Ft,0.719,1.38,1.77,0.783,0.601,0.182
5,1628418,13,7,Greater Than 15 Ft,0.281,0.15,0.69,0.222,0.302,-0.08
0,201933,58,58,Overall,1.0,6.22,14.07,0.442,0.466,-0.024
1,201933,58,57,3 Pointers,0.381,1.81,5.36,0.338,0.362,-0.024
2,201933,58,58,2 Pointers,0.619,4.41,8.71,0.507,0.516,-0.009
3,201933,58,58,Less Than 6 Ft,0.327,2.71,4.6,0.588,0.622,-0.034
4,201933,58,58,Less Than 10 Ft,0.391,3.1,5.5,0.564,0.567,-0.003
5,201933,58,58,Greater Than 15 Ft,0.522,2.62,7.34,0.357,0.371,-0.014
0,201565,25,25,Overall,1.0,3.0,5.92,0.507,0.457,0.05
1,201565,25,17,3 Pointers,0.304,0.68,1.8,0.378,0.357,0.021
2,201565,25,23,2 Pointers,0.696,2.32,4.12,0.563,0.507,0.056
3,201565,25,20,Less Than 6 Ft,0.297,1.16,1.76,0.659,0.618,0.041
4,201565,25,22,Less Than 10 Ft,0.432,1.56,2.56,0.609,0.567,0.042
5,201565,25,21,Greater Than 15 Ft,0.466,1.12,2.76,0.406,0.372,0.034
0,204038,52,52,Overall,1.0,2.33,5.04,0.462,0.445,0.017
1,204038,52,49,3 Pointers,0.469,0.9,2.37,0.382,0.351,0.031
2,204038,52,45,2 Pointers,0.531,1.42,2.67,0.532,0.5,0.033
3,204038,52,38,Less Than 6 Ft,0.256,0.87,1.29,0.672,0.61,0.062
4,204038,52,39,Less Than 10 Ft,0.324,1.06,1.63,0.647,0.558,0.09
5,204038,52,51,Greater Than 15 Ft,0.588,1.15,2.96,0.39,0.362,0.027
0,1628379,71,71,Overall,1.0,3.07,6.46,0.475,0.441,0.034
1,1628379,71,63,3 Pointers,0.416,0.96,2.69,0.356,0.361,-0.005
2,1628379,71,67,2 Pointers,0.584,2.11,3.77,0.56,0.497,0.063
3,1628379,71,56,Less Than 6 Ft,0.268,1.18,1.73,0.683,0.597,0.086
4,1628379,71,62,Less Than 10 Ft,0.381,1.44,2.46,0.583,0.55,0.033
5,1628379,71,68,Greater Than 15 Ft,0.529,1.35,3.42,0.395,0.372,0.023
0,1627748,71,71,Overall,1.0,4.51,8.8,0.512,0.482,0.03
1,1627748,71,50,3 Pointers,0.166,0.58,1.46,0.394,0.359,0.035
2,1627748,71,71,2 Pointers,0.834,3.93,7.34,0.536,0.522,0.014
3,1627748,71,69,Less Than 6 Ft,0.579,2.94,5.1,0.577,0.619,-0.042
