PLAYER_ID,def_2 Pointers_freq,def_3 Pointers_freq,def_Greater_Than_15_Ft_freq,def_Less_Than_10_Ft_freq,def_Less_Than_6_Ft_freq,def_2 Pointers_dfgm,def_3 Pointers_dfgm,def_Greater_Than_15_Ft_dfgm,def_Less_Than_10_Ft_dfgm,def_Less_Than_6_Ft_dfgm,def_2 Pointers_dfga,def_3 Pointers_dfga,def_Greater_Than_15_Ft_dfga,def_Less_Than_10_Ft_dfga,def_Less_Than_6_Ft_dfga,def_2 Pointers_plus_minus,def_3 Pointers_plus_minus,def_Greater_Than_15_Ft_plus_minus,def_Less_Than_10_Ft_plus_minus,def_Less_Than_6_Ft_plus_minus
203476,0.758,0.242,0.381,0.545,0.434,3.33,0.73,1.15,2.65,2.23,6.08,1.94,3.05,4.37,3.48,0.033,0.027,0.012,0.04,0.024
203482,0.756,0.244,0.383,0.534,0.426,3.99,0.8,1.39,3.08,2.57,7.4,2.39,3.75,5.23,4.17,0.026,-0.028,-0.003,0.026,0.001
203484,0.601,0.399,0.553,0.364,0.286,3.17,1.32,1.99,2.1,1.82,5.54,3.68,5.1,3.36,2.64,0.068,-0.006,0.013,0.061,0.07
203486,0.764,0.236,0.373,0.538,0.423,3.36,0.88,1.35,2.57,2.17,7.14,2.21,3.49,5.03,3.96,-0.051,0.052,0.015,-0.064,-0.079
203487,0.647,0.353,0.572,0.349,0.257,1.85,0.79,1.37,1.04,0.85,3.63,1.98,3.21,1.96,1.44,0.007,0.038,0.05,-0.031,-0.024
203488,0.693,0.307,0.44,0.503,0.386,3.28,1.15,1.6,2.62,2.21,6.6,2.92,4.19,4.79,3.68,-0.017,0.039,0.014,-0.017,-0.016
203490,0.643,0.357,0.508,0.442,0.348,3.37,1.3,1.86,2.55,2.16,6.08,3.38,4.8,4.18,3.29,0.048,0.02,0.013,0.048,0.037
203493,0.575,0.425,0.594,0.328,0.245,2.72,1.27,1.82,1.88,1.52,5.0,3.7,5.17,2.85,2.13,0.037,-0.026,-0.029,0.094,0.09
203496,0.622,0.378,0.528,0.383,0.285,3.85,1.55,2.35,2.72,2.26,7.29,4.44,6.19,4.49,3.35,0.021,-0.015,0.002,0.038,0.05
203497,0.844,0.156,0.292,0.602,0.476,6.43,0.89,2.0,4.66,3.98,13.61,2.52,4.71,9.71,7.68,-0.048,-0.002,0.053,-0.091,-0.099
203500,0.72,0.28,0.435,0.484,0.354,5.23,1.59,2.55,3.73,2.96,11.0,4.28,6.65,7.39,5.41,-0.047,0.015,0.007,-0.07,-0.077
203501,0.537,0.463,0.576,0.332,0.255,3.05,1.81,2.25,2.18,1.84,5.74,4.95,6.16,3.54,2.72,0.022,-0.002,-0.014,0.046,0.057
203503,0.64,0.36,0.547,0.384,0.248,2.81,1.18,1.78,1.95,1.48,5.27,2.97,4.51,3.16,2.04,0.032,0.038,0.023,0.051,0.111
203504,0.549,0.451,0.592,0.296,0.189,1.77,1.0,1.37,1.03,0.8,3.66,3.0,3.94,1.97,1.26,-0.004,-0.029,-0.024,-0.017,0.035
203506,0.528,0.472,0.588,0.359,0.293,3.13,1.92,2.37,2.36,2.04,5.93,5.31,6.61,4.04,3.29,0.023,-0.004,-0.018,0.023,0.003
203507,0.668,0.332,0.432,0.491,0.414,3.81,1.38,1.77,3.14,2.78,8.27,4.11,5.35,6.08,5.12,-0.055,-0.03,-0.046,-0.053,-0.076
203516,0.601,0.399,0.583,0.34,0.253,2.11,0.79,1.17,1.56,1.22,4.13,2.74,4.0,2.33,1.74,0.001,-0.078,-0.079,0.093,0.076
203521,0.589,0.411,0.579,0.349,0.258,2.03,0.69,1.14,1.31,1.06,3.42,2.39,3.36,2.03,1.5,0.099,-0.069,-0.027,0.078,0.069
203524,0.689,0.311,0.446,0.432,0.365,2.42,0.67,1.17,1.83,1.67,4.25,1.92,2.75,2.67,2.25,0.06,-0.044,0.051,0.104,0.094
203526,0.626,0.374,0.527,0.345,0.227,1.55,0.55,0.85,0.88,0.68,3.18,1.9,2.68,1.75,1.15,-0.003,-0.065,-0.057,-0.04,-0.008
203584,0.59,0.41,0.584,0.326,0.251,2.15,1.04,1.59,1.36,1.15,3.95,2.74,3.91,2.18,1.68,0.042,0.019,0.031,0.063,0.074
