,PLAYER_ID,def_2 Pointers_freq,def_3 Pointers_freq,def_Greater_Than_15_Ft_freq,def_Less_Than_10_Ft_freq,def_Less_Than_6_Ft_freq,def_2 Pointers_dfgm,def_3 Pointers_dfgm,def_Greater_Than_15_Ft_dfgm,def_Less_Than_10_Ft_dfgm,def_Less_Than_6_Ft_dfgm,def_2 Pointers_dfga,def_3 Pointers_dfga,def_Greater_Than_15_Ft_dfga,def_Less_Than_10_Ft_dfga,def_Less_Than_6_Ft_dfga,def_2 Pointers_plus_minus,def_3 Pointers_plus_minus,def_Greater_Than_15_Ft_plus_minus,def_Less_Than_10_Ft_plus_minus,def_Less_Than_6_Ft_plus_minus,Player,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
41,201583,0.723,0.277,0.44,0.48,0.35200000000000004,3.06,1.02,1.42,2.35,1.98,6.59,2.53,4.02,4.38,3.21,-0.039,0.042,-0.015,-0.019,0.01,Ryan Anderson,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,PF,0.2,0.5,0.0,3.5,1.0,0.5,0.0,0.5,0.5,2.5
42,201584,0.565,0.435,0.634,0.289,0.203,2.52,1.35,2.0,1.6,1.31,4.77,3.68,5.36,2.44,1.72,0.025,0.0,-0.006,0.093,0.141,Courtney Lee,6.0,3.0,5.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,11.0,SG,0.447,0.5429999999999999,0.3,1.0,0.5,0.8,0.3,0.5,1.4,4.5
43,201586,0.723,0.277,0.4370000000000001,0.493,0.397,3.89,1.14,1.86,2.83,2.45,7.68,2.95,4.64,5.24,4.22,-0.001,0.03,0.028,-0.025,-0.043,Serge Ibaka,3.0,2.0,20.0,20.0,21.0,0.0,0.0,0.0,1.0,13.0,1.0,11.0,8.0,4.0,6.0,0.0,13.0,12.0,65.0,129.0,C,0.39799999999999996,0.562,2.1,6.2,1.5,0.5,0.8,2.0,2.8,16.0
44,201587,0.615,0.385,0.5710000000000001,0.339,0.261,2.56,1.42,2.08,1.66,1.36,5.05,3.16,4.69,2.78,2.14,0.003,0.081,0.063,0.03,0.017,Nicolas Batum,3.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,SF,0.28600000000000003,0.43799999999999994,1.1,3.4,3.0,0.8,0.4,1.0,1.9,3.6
45,201588,0.5539999999999999,0.446,0.58,0.364,0.272,2.48,1.4,1.79,1.94,1.61,4.75,3.82,4.97,3.12,2.33,0.016,0.004,-0.013,0.057,0.068,George Hill,12.0,8.0,16.0,30.0,6.0,1.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,7.0,5.0,81.0,PG,0.48,0.5710000000000001,0.9,2.1,2.9,0.8,0.1,0.9,1.4,9.6
46,201599,0.782,0.218,0.389,0.514,0.373,4.63,0.92,1.74,3.34,2.75,9.49,2.64,4.72,6.24,4.53,-0.036000000000000004,-0.006999999999999999,-0.006999999999999999,-0.038,-0.015,DeAndre Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,182.0,C,0.0,0.6659999999999999,2.5,7.5,1.9,0.3,0.9,1.3,2.0,8.3
47,201609,0.7090000000000001,0.29100000000000004,0.434,0.465,0.311,2.64,0.83,1.31,1.94,1.53,5.99,2.46,3.67,3.93,2.63,-0.055,-0.027000000000000003,-0.021,-0.057,-0.026,Goran Dragic,17.0,8.0,27.0,39.0,26.0,1.0,0.0,1.0,4.0,12.0,2.0,0.0,4.0,5.0,2.0,1.0,12.0,22.0,22.0,93.0,PG,0.377,0.491,0.5,2.6,5.1,0.6,0.1,2.5,1.9,16.1
48,201933,0.619,0.381,0.522,0.391,0.327,4.41,1.81,2.62,3.1,2.71,8.71,5.36,7.34,5.5,4.6,-0.009000000000000001,-0.024,-0.014,-0.003,-0.034,Blake Griffin,3.0,1.0,8.0,4.0,10.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,50.0,PF,0.243,0.439,0.9,3.7,3.3,0.4,0.4,2.2,1.5,15.5
49,201935,0.607,0.393,0.526,0.39,0.282,3.82,1.89,2.53,2.86,2.29,7.49,4.85,6.49,4.81,3.47,-0.002,0.026,0.017,0.026,0.038,James Harden,7.0,6.0,66.0,101.0,78.0,13.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,12.0,70.0,242.0,SG,0.35200000000000004,0.5379999999999999,1.0,5.3,7.4,1.7,0.9,4.5,3.4,34.4
50,201937,0.6629999999999999,0.337,0.5429999999999999,0.345,0.255,3.34,1.35,2.16,2.13,1.73,6.22,3.16,5.09,3.23,2.39,0.037000000000000005,0.07400000000000001,0.052000000000000005,0.094,0.105,Ricky Rubio,18.0,4.0,25.0,10.0,8.0,0.0,0.0,5.0,1.0,15.0,1.0,17.0,4.0,15.0,6.0,1.0,14.0,13.0,18.0,85.0,PG,0.35100000000000003,0.44,0.7,3.9,8.9,1.5,0.2,2.7,2.5,13.1
