,Player,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
217,Justin Holiday,SG,0.424,0.47200000000000003,0.5,2.7,1.3,1.2,0.6,0.6,1.8,8.4
218,Rondae Hollis-Jefferson,SF,0.11800000000000001,0.493,2.0,2.9,1.7,0.8,0.4,0.9,2.0,7.2
219,Richaun Holmes,C,,0.654,3.0,5.3,1.0,1.0,1.4,1.3,3.9,12.8
220,Rodney Hood,SF,0.493,0.515,0.5,3.0,1.5,0.8,0.2,0.9,2.2,11.0
221,Al Horford,C,0.337,0.513,1.5,5.3,4.1,0.9,0.9,1.1,2.1,12.0
222,Talen Horton-Tucker,SG,0.0,,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
223,Danuel House,SF,0.363,0.544,1.0,3.3,1.3,1.1,0.6,0.8,2.1,10.2
224,Dwight Howard,C,0.6,0.7340000000000001,2.5,4.9,0.7,0.4,1.2,1.2,3.2,7.5
225,William Howard,SG,0.0,,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0
226,Kevin Huerter,SG,0.38,0.45299999999999996,0.6,3.4,3.8,0.9,0.5,1.6,2.5,12.2
227,De'Andre Hunter,SF,0.355,0.45399999999999996,0.7,3.8,1.8,0.7,0.3,1.6,2.9,12.3
228,Chandler Hutchison,SF,0.316,0.496,0.6,3.2,0.9,1.0,0.3,1.0,1.7,7.8
229,Serge Ibaka,C,0.39799999999999996,0.562,2.1,6.2,1.5,0.5,0.8,2.0,2.8,16.0
230,Andre Iguodala,SG,0.375,0.593,0.7,3.1,2.0,0.6,1.1,1.2,2.0,4.4
231,Ersan İlyasova,PF,0.371,0.5479999999999999,1.1,3.9,0.8,0.4,0.3,0.6,1.6,6.8
232,Joe Ingles,SF,0.397,0.516,0.4,3.6,5.2,0.9,0.1,1.9,2.1,9.8
233,Brandon Ingram,PF,0.387,0.509,0.9,5.4,4.3,1.0,0.7,3.1,2.9,24.3
234,Kyrie Irving,PG,0.39399999999999996,0.522,1.1,4.1,6.4,1.4,0.5,2.6,2.7,27.4
235,Jonathan Isaac,SF,0.33,0.515,1.8,5.2,1.4,1.6,2.4,1.5,2.5,12.0
236,Wesley Iwundu,SF,0.313,0.441,0.5,2.0,1.0,0.6,0.2,0.4,1.4,5.3
