PLAYER_ID,def_2 Pointers_freq,def_3 Pointers_freq,def_Greater_Than_15_Ft_freq,def_Less_Than_10_Ft_freq,def_Less_Than_6_Ft_freq,def_2 Pointers_dfgm,def_3 Pointers_dfgm,def_Greater_Than_15_Ft_dfgm,def_Less_Than_10_Ft_dfgm,def_Less_Than_6_Ft_dfgm,def_2 Pointers_dfga,def_3 Pointers_dfga,def_Greater_Than_15_Ft_dfga,def_Less_Than_10_Ft_dfga,def_Less_Than_6_Ft_dfga,def_2 Pointers_plus_minus,def_3 Pointers_plus_minus,def_Greater_Than_15_Ft_plus_minus,def_Less_Than_10_Ft_plus_minus,def_Less_Than_6_Ft_plus_minus
101108,0.623,0.377,0.46299999999999997,0.446,0.353,3.52,1.36,1.71,2.76,2.41,6.36,3.84,4.72,4.55,3.6,0.042,-0.01,-0.013000000000000001,0.039,0.051
101109,0.603,0.397,0.52,0.385,0.265,1.61,0.63,0.98,1.13,0.91,3.08,2.03,2.65,1.96,1.35,0.026000000000000002,-0.046,0.0,0.023,0.069
101112,0.754,0.24600000000000002,0.387,0.514,0.408,2.69,0.69,1.06,2.14,1.76,4.92,1.61,2.53,3.35,2.67,0.038,0.08199999999999999,0.053,0.086,0.065
101123,0.642,0.358,0.47700000000000004,0.467,0.371,2.83,0.88,1.18,2.3,1.88,4.85,2.7,3.6,3.53,2.8,0.08800000000000001,-0.05,-0.05,0.10099999999999999,0.073
101127,0.526,0.474,0.655,0.267,0.195,2.41,1.46,2.18,1.38,1.1,4.33,3.9,5.39,2.2,1.61,0.06,0.012,0.032,0.064,0.065
101133,0.789,0.21100000000000002,0.34700000000000003,0.584,0.42,2.68,0.45,0.86,2.04,1.66,5.49,1.47,2.42,4.06,2.92,-0.034,-0.044000000000000004,-0.016,-0.066,-0.047
101139,0.57,0.43,0.5660000000000001,0.37,0.225,1.27,0.61,0.9,0.9,0.71,2.57,1.94,2.56,1.67,1.01,-0.009000000000000001,-0.039,-0.011000000000000001,-0.024,0.077
101141,0.721,0.27899999999999997,0.434,0.504,0.368,3.26,1.01,1.52,2.55,1.97,6.84,2.65,4.12,4.78,3.49,-0.035,0.027000000000000003,0.004,-0.031,-0.053
101150,0.525,0.475,0.65,0.26899999999999996,0.215,2.32,1.35,2.0,1.5,1.28,4.36,3.95,5.4,2.23,1.78,0.028999999999999998,-0.017,-0.001,0.109,0.10300000000000001
101161,0.831,0.16899999999999998,0.263,0.654,0.517,2.91,0.39,0.59,2.46,2.11,6.09,1.24,1.93,4.8,3.8,-0.039,-0.043,-0.065,-0.049,-0.054000000000000006
