,Player,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area,Pos,3P%,2P%,TRB,AST,STL,BLK,TOV,PF,PTS
1452,Ricky Ledo,203495.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,SG,0.2905,0.24625,1.375,0.75,0.25,0.05,1.025,0.825,3.65
1453,Ricky Rubio,201937.0,32.0,25.0,91.0,61.0,28.0,0.0,0.0,39.0,30.0,110.0,18.0,30.0,16.0,49.0,39.0,7.0,98.0,31.0,42.0,405.0,PG,0.31833333333333336,0.41122222222222216,4.366666666666666,7.888888888888887,1.8666666666666667,0.1111111111111111,2.7666666666666666,2.6,11.244444444444444
1454,Rik Smits,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,3.0,0.0,38.0,41.0,12.0,5.0,1.0,56.0,18.0,136.0,100.0,C,0.0,0.485,5.1,1.1,0.3,1.3,1.4,3.2,12.9
1455,Rob Kurz,201633.0,1.0,1.0,7.0,4.0,1.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,4.0,2.0,3.0,0.0,4.0,1.0,0.0,15.0,SF,0.395,0.387,2.0,0.5,0.4,0.5,0.4,2.0,3.9
1456,Robbie Hummel,203133.0,9.0,10.0,13.0,7.0,9.0,0.0,0.0,9.0,5.0,20.0,3.0,2.0,1.0,2.0,2.0,4.0,10.0,6.0,1.0,38.0,SF,0.337,0.4595,2.75,0.5,0.35,0.1,0.30000000000000004,1.5,3.9
1457,Robert Archibald,2425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PF,0.0,0.268,1.34,0.4199999999999999,0.36,0.1,0.4400000000000001,1.0,1.3199999999999998
1458,Robert Covington,203496.0,3.0,9.0,10.0,13.0,7.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,SF,0.3622727272727273,0.5314545454545455,5.463636363636364,1.2727272727272727,1.5818181818181818,1.0727272727272728,1.4636363636363638,3.0090909090909093,11.963636363636367
1459,Robert Hite,200823.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,SG,0.217,0.378,1.3,0.7,0.3,0.2,0.5,0.7,4.3
1460,Robert Horry,109.0,40.0,24.0,68.0,52.0,26.0,1.0,0.0,25.0,14.0,46.0,5.0,21.0,13.0,9.0,9.0,0.0,29.0,34.0,33.0,255.0,PF,0.33644444444444443,0.4246666666666667,4.155555555555555,1.6333333333333333,0.8222222222222223,0.7666666666666667,0.8777777777777778,2.1333333333333333,5.166666666666668
1461,Robert Pack,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,4.0,21.0,PG,0.25025,0.413,1.44,3.3600000000000003,0.8400000000000001,0.02,1.5399999999999998,1.42,5.2799999999999985
