,CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
3,2863,15,8,Less Than 6 Ft,0.295,0.67,0.87,0.769,0.595,0.174
4,2863,15,8,Less Than 10 Ft,0.386,0.67,1.13,0.588,0.547,0.041
5,2863,15,12,Greater Than 15 Ft,0.523,0.33,1.53,0.217,0.349,-0.131
0,2037,77,77,Overall,1.0,1.84,3.7,0.498,0.441,0.057
1,2037,77,64,3 Pointers,0.477,0.68,1.77,0.382,0.356,0.027
2,2037,77,64,2 Pointers,0.523,1.17,1.94,0.604,0.496,0.108
3,2037,77,39,Less Than 6 Ft,0.214,0.64,0.79,0.803,0.606,0.198
4,2037,77,46,Less Than 10 Ft,0.281,0.78,1.04,0.75,0.557,0.193
5,2037,77,71,Greater Than 15 Ft,0.639,0.97,2.36,0.412,0.367,0.045
0,202348,4,4,Overall,1.0,3.0,4.25,0.706,0.449,0.256
1,202348,4,2,3 Pointers,0.412,1.25,1.75,0.714,0.364,0.351
2,202348,4,4,2 Pointers,0.588,1.75,2.5,0.7,0.505,0.195
3,202348,4,2,Less Than 6 Ft,0.412,1.5,1.75,0.857,0.621,0.236
4,202348,4,2,Less Than 10 Ft,0.412,1.5,1.75,0.857,0.568,0.29
5,202348,4,3,Greater Than 15 Ft,0.471,1.25,2.0,0.625,0.37,0.255
0,1891,47,47,Overall,1.0,2.0,4.32,0.463,0.439,0.024
1,1891,47,37,3 Pointers,0.394,0.55,1.7,0.325,0.357,-0.032
2,1891,47,38,2 Pointers,0.606,1.45,2.62,0.553,0.494,0.059
3,1891,47,29,Less Than 6 Ft,0.271,0.83,1.17,0.709,0.614,0.095
4,1891,47,31,Less Than 10 Ft,0.34,1.02,1.47,0.696,0.55,0.146
5,1891,47,43,Greater Than 15 Ft,0.576,0.81,2.49,0.325,0.366,-0.042
0,1628464,56,56,Overall,1.0,3.57,7.93,0.45,0.471,-0.021
1,1628464,56,39,3 Pointers,0.198,0.61,1.57,0.386,0.357,0.03
2,1628464,56,56,2 Pointers,0.802,2.96,6.36,0.466,0.513,-0.047
3,1628464,56,54,Less Than 6 Ft,0.462,2.04,3.66,0.556,0.616,-0.059
4,1628464,56,54,Less Than 10 Ft,0.59,2.41,4.68,0.515,0.566,-0.05
5,1628464,56,47,Greater Than 15 Ft,0.349,1.05,2.77,0.381,0.373,0.007
0,202683,70,70,Overall,1.0,6.4,12.31,0.52,0.479,0.04
1,202683,70,59,3 Pointers,0.162,0.89,2.0,0.443,0.361,0.082
2,202683,70,70,2 Pointers,0.838,5.51,10.31,0.535,0.519,0.016
3,202683,70,70,Less Than 6 Ft,0.454,3.37,5.59,0.604,0.622,-0.018
4,202683,70,70,Less Than 10 Ft,0.609,4.1,7.5,0.547,0.569,-0.023
5,202683,70,67,Greater Than 15 Ft,0.307,1.74,3.79,0.46,0.377,0.083
0,202330,1,1,Overall,1.0,1.0,1.0,1.0,0.453,0.547
1,202330,1,0,3 Pointers,,,,,,
2,202330,1,1,2 Pointers,1.0,1.0,1.0,1.0,0.473,0.527
3,202330,1,1,Less Than 6 Ft,1.0,1.0,1.0,1.0,0.632,0.368
4,202330,1,1,Less Than 10 Ft,1.0,1.0,1.0,1.0,0.545,0.455
5,202330,1,0,Greater Than 15 Ft,,,,,,
0,1627759,67,67,Overall,1.0,3.72,9.39,0.396,0.452,-0.057
1,1627759,67,67,3 Pointers,0.426,1.27,4.0,0.317,0.367,-0.05
2,1627759,67,67,2 Pointers,0.574,2.45,5.39,0.454,0.504,-0.049
