,CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
4,1627750,80,77,Less Than 10 Ft,0.363,2.5,3.83,0.654,0.552,0.102
5,1627750,80,80,Greater Than 15 Ft,0.533,2.29,5.61,0.408,0.375,0.032
0,203924,80,80,Overall,1.0,3.28,7.54,0.434,0.466,-0.031
1,203924,80,68,3 Pointers,0.32,0.9,2.41,0.373,0.36,0.013
2,203924,80,80,2 Pointers,0.68,2.38,5.13,0.463,0.517,-0.054
3,203924,80,79,Less Than 6 Ft,0.41,1.64,3.09,0.53,0.624,-0.093
4,203924,80,79,Less Than 10 Ft,0.512,1.91,3.86,0.495,0.572,-0.077
5,203924,80,77,Greater Than 15 Ft,0.438,1.2,3.3,0.364,0.372,-0.008
0,1627823,21,21,Overall,1.0,2.14,5.24,0.409,0.446,-0.037
1,1627823,21,19,3 Pointers,0.418,0.76,2.19,0.348,0.34,0.008
2,1627823,21,17,2 Pointers,0.582,1.38,3.05,0.453,0.499,-0.045
3,1627823,21,13,Less Than 6 Ft,0.318,1.0,1.67,0.6,0.602,-0.002
4,1627823,21,14,Less Than 10 Ft,0.373,1.05,1.95,0.537,0.549,-0.013
5,1627823,21,21,Greater Than 15 Ft,0.591,1.05,3.1,0.338,0.361,-0.023
0,1627736,43,43,Overall,1.0,1.4,3.0,0.465,0.448,0.017
1,1627736,43,25,3 Pointers,0.341,0.42,1.02,0.409,0.364,0.045
2,1627736,43,37,2 Pointers,0.659,0.98,1.98,0.494,0.497,-0.003
3,1627736,43,28,Less Than 6 Ft,0.341,0.58,1.02,0.568,0.593,-0.024
4,1627736,43,29,Less Than 10 Ft,0.457,0.67,1.37,0.492,0.549,-0.058
5,1627736,43,32,Greater Than 15 Ft,0.504,0.63,1.51,0.415,0.373,0.042
0,203486,72,72,Overall,1.0,4.24,9.35,0.453,0.479,-0.025
1,203486,72,57,3 Pointers,0.236,0.88,2.21,0.396,0.345,0.052
2,203486,72,71,2 Pointers,0.764,3.36,7.14,0.471,0.522,-0.051
3,203486,72,66,Less Than 6 Ft,0.423,2.17,3.96,0.547,0.627,-0.079
4,203486,72,71,Less Than 10 Ft,0.538,2.57,5.03,0.511,0.575,-0.064
5,203486,72,67,Greater Than 15 Ft,0.373,1.35,3.49,0.386,0.371,0.015
0,1628420,3,3,Overall,1.0,1.0,3.0,0.333,0.419,-0.086
1,1628420,3,1,3 Pointers,0.333,0.0,1.0,0.0,0.364,-0.364
2,1628420,3,3,2 Pointers,0.667,1.0,2.0,0.5,0.488,0.012
3,1628420,3,1,Less Than 6 Ft,0.111,0.0,0.33,0.0,0.0,0.0
4,1628420,3,2,Less Than 10 Ft,0.222,0.33,0.67,0.5,0.271,0.229
5,1628420,3,2,Greater Than 15 Ft,0.667,0.33,2.0,0.167,0.39,-0.223
0,203999,74,74,Overall,1.0,8.84,16.32,0.541,0.483,0.059
1,203999,74,70,3 Pointers,0.2,1.18,3.27,0.36,0.355,0.005
2,203999,74,74,2 Pointers,0.8,7.66,13.05,0.587,0.525,0.062
3,203999,74,73,Less Than 6 Ft,0.462,5.04,7.54,0.668,0.626,0.043
4,203999,74,73,Less Than 10 Ft,0.589,6.01,9.61,0.626,0.576,0.05
5,203999,74,74,Greater Than 15 Ft,0.339,2.3,5.54,0.415,0.372,0.042
0,1628470,39,39,Overall,1.0,2.85,6.51,0.437,0.453,-0.016
1,1628470,39,33,3 Pointers,0.354,0.82,2.31,0.356,0.36,-0.005
2,1628470,39,35,2 Pointers,0.646,2.03,4.21,0.482,0.505,-0.023
3,1628470,39,31,Less Than 6 Ft,0.276,1.18,1.79,0.657,0.615,0.042
4,1628470,39,33,Less Than 10 Ft,0.394,1.49,2.56,0.58,0.566,0.014
5,1628470,39,37,Greater Than 15 Ft,0.528,1.15,3.44,0.336,0.376,-0.04
0,203115,80,80,Overall,1.0,4.39,9.28,0.473,0.449,0.024
1,203115,80,78,3 Pointers,0.398,1.36,3.69,0.369,0.364,0.005
2,203115,80,80,2 Pointers,0.602,3.03,5.59,0.541,0.498,0.043
3,203115,80,77,Less Than 6 Ft,0.311,1.81,2.89,0.628,0.611,0.017
4,203115,80,79,Less Than 10 Ft,0.403,2.2,3.74,0.589,0.556,0.032
5,203115,80,80,Greater Than 15 Ft,0.52,1.88,4.83,0.389,0.376,0.013
0,201156,80,80,Overall,1.0,2.56,5.2,0.493,0.445,0.048
1,201156,80,67,3 Pointers,0.387,0.8,2.01,0.398,0.35,0.047
2,201156,80,78,2 Pointers,0.613,1.76,3.19,0.553,0.503,0.05
3,201156,80,57,Less Than 6 Ft,0.298,1.16,1.55,0.75,0.618,0.132
4,201156,80,63,Less Than 10 Ft,0.377,1.36,1.96,0.694,0.564,0.13
5,201156,80,74,Greater Than 15 Ft,0.555,1.05,2.89,0.364,0.362,0.002
0,1626168,67,67,Overall,1.0,3.85,8.55,0.45,0.46,-0.01
1,1626168,67,57,3 Pointers,0.293,0.85,2.51,0.339,0.344,-0.005
2,1626168,67,67,2 Pointers,0.707,3.0,6.04,0.496,0.515,-0.019
3,1626168,67,62,Less Than 6 Ft,0.419,2.15,3.58,0.6,0.612,-0.012
4,1626168,67,66,Less Than 10 Ft,0.524,2.4,4.48,0.537,0.564,-0.027
5,1626168,67,60,Greater Than 15 Ft,0.421,1.21,3.6,0.336,0.362,-0.026
0,1628399,1,1,Overall,1.0,1.0,2.0,0.5,0.43,0.071
1,1628399,1,1,3 Pointers,0.5,1.0,1.0,1.0,0.307,0.693
2,1628399,1,1,2 Pointers,0.5,0.0,1.0,0.0,0.459,-0.459
3,1628399,1,1,Less Than 6 Ft,0.5,0.0,1.0,0.0,0.588,-0.588
4,1628399,1,1,Less Than 10 Ft,0.5,0.0,1.0,0.0,0.514,-0.514
5,1628399,1,1,Greater Than 15 Ft,0.5,1.0,1.0,1.0,0.343,0.657
0,201589,16,16,Overall,1.0,2.06,3.44,0.6,0.491,0.109
1,201589,16,6,3 Pointers,0.164,0.19,0.56,0.333,0.357,-0.024
2,201589,16,16,2 Pointers,0.836,1.88,2.88,0.652,0.525,0.127
3,201589,16,14,Less Than 6 Ft,0.564,1.31,1.94,0.677,0.642,0.036
4,201589,16,15,Less Than 10 Ft,0.655,1.56,2.25,0.694,0.575,0.12
5,201589,16,9,Greater Than 15 Ft,0.255,0.38,0.88,0.429,0.372,0.056
0,1626144,59,59,Overall,1.0,3.02,6.15,0.49,0.445,0.045
1,1626144,59,51,3 Pointers,0.424,1.1,2.61,0.422,0.364,0.058
2,1626144,59,57,2 Pointers,0.576,1.92,3.54,0.541,0.496,0.045
3,1626144,59,46,Less Than 6 Ft,0.287,1.15,1.76,0.654,0.607,0.047
4,1626144,59,51,Less Than 10 Ft,0.369,1.39,2.27,0.612,0.554,0.058
5,1626144,59,55,Greater Than 15 Ft,0.579,1.53,3.56,0.429,0.375,0.054
0,202702,31,31,Overall,1.0,3.45,6.68,0.517,0.466,0.051
1,202702,31,25,3 Pointers,0.3,0.84,2.0,0.419,0.352,0.067
2,202702,31,29,2 Pointers,0.7,2.61,4.68,0.559,0.514,0.044
3,202702,31,24,Less Than 6 Ft,0.415,1.81,2.77,0.651,0.611,0.04
4,202702,31,24,Less Than 10 Ft,0.488,2.1,3.26,0.644,0.561,0.083
5,202702,31,28,Greater Than 15 Ft,0.43,1.26,2.87,0.438,0.365,0.073
0,201163,74,74,Overall,1.0,4.0,9.39,0.426,0.457,-0.031
1,201163,74,74,3 Pointers,0.403,1.38,3.78,0.364,0.361,0.003
2,201163,74,74,2 Pointers,0.597,2.62,5.61,0.467,0.509,-0.041
3,201163,74,67,Less Than 6 Ft,0.272,1.41,2.55,0.55,0.622,-0.072
4,201163,74,72,Less Than 10 Ft,0.361,1.68,3.39,0.494,0.57,-0.076
5,201163,74,74,Greater Than 15 Ft,0.555,2.03,5.22,0.389,0.373,0.015
0,201568,21,21,Overall,1.0,5.29,12.05,0.439,0.459,-0.021
1,201568,21,21,3 Pointers,0.352,1.48,4.24,0.348,0.371,-0.023
2,201568,21,21,2 Pointers,0.648,3.81,7.81,0.488,0.509,-0.022
3,201568,21,20,Less Than 6 Ft,0.324,2.29,3.9,0.585,0.623,-0.037
4,201568,21,21,Less Than 10 Ft,0.431,2.76,5.19,0.532,0.569,-0.036
5,201568,21,21,Greater Than 15 Ft,0.502,2.05,6.05,0.339,0.378,-0.04
0,203948,35,35,Overall,1.0,2.83,4.71,0.6,0.481,0.119
1,203948,35,15,3 Pointers,0.133,0.31,0.63,0.5,0.341,0.159
2,203948,35,35,2 Pointers,0.867,2.51,4.09,0.615,0.523,0.093
3,203948,35,30,Less Than 6 Ft,0.406,1.46,1.91,0.761,0.623,0.138
4,203948,35,32,Less Than 10 Ft,0.624,1.86,2.94,0.631,0.569,0.062
5,203948,35,24,Greater Than 15 Ft,0.297,0.74,1.4,0.531,0.363,0.167
0,203994,79,79,Overall,1.0,6.24,12.87,0.485,0.486,-0.001
1,203994,79,64,3 Pointers,0.163,0.82,2.1,0.392,0.354,0.037
2,203994,79,79,2 Pointers,0.837,5.42,10.77,0.503,0.525,-0.022
3,203994,79,78,Less Than 6 Ft,0.515,3.57,6.63,0.538,0.62,-0.082
4,203994,79,79,Less Than 10 Ft,0.643,4.29,8.28,0.518,0.573,-0.054
5,203994,79,78,Greater Than 15 Ft,0.293,1.57,3.77,0.416,0.37,0.046
0,201167,49,49,Overall,1.0,1.71,3.98,0.431,0.446,-0.015
1,201167,49,36,3 Pointers,0.405,0.67,1.61,0.418,0.358,0.06
2,201167,49,43,2 Pointers,0.595,1.04,2.37,0.44,0.5,-0.06
3,201167,49,30,Less Than 6 Ft,0.251,0.59,1.0,0.592,0.618,-0.026
4,201167,49,34,Less Than 10 Ft,0.359,0.76,1.43,0.529,0.56,-0.031
5,201167,49,44,Greater Than 15 Ft,0.559,0.82,2.22,0.367,0.371,-0.004
0,203095,57,57,Overall,1.0,4.63,9.49,0.488,0.456,0.032
1,203095,57,56,3 Pointers,0.377,1.3,3.58,0.363,0.365,-0.002
2,203095,57,56,2 Pointers,0.623,3.33,5.91,0.564,0.51,0.054
3,203095,57,54,Less Than 6 Ft,0.309,2.02,2.93,0.689,0.618,0.071
4,203095,57,55,Less Than 10 Ft,0.407,2.4,3.86,0.623,0.567,0.056
5,203095,57,56,Greater Than 15 Ft,0.514,1.95,4.88,0.399,0.375,0.025
0,2738,64,64,Overall,1.0,2.98,7.28,0.41,0.449,-0.039
1,2738,64,61,3 Pointers,0.427,0.89,3.11,0.286,0.359,-0.073
2,2738,64,62,2 Pointers,0.573,2.09,4.17,0.502,0.505,-0.003
3,2738,64,56,Less Than 6 Ft,0.262,1.3,1.91,0.68,0.621,0.06
4,2738,64,58,Less Than 10 Ft,0.363,1.53,2.64,0.58,0.564,0.016
5,2738,64,63,Greater Than 15 Ft,0.567,1.25,4.13,0.303,0.371,-0.068
0,202933,15,15,Overall,1.0,1.33,3.8,0.351,0.434,-0.083
1,202933,15,9,3 Pointers,0.421,0.47,1.6,0.292,0.329,-0.037
2,202933,15,14,2 Pointers,0.579,0.87,2.2,0.394,0.495,-0.101
3,202933,15,8,Less Than 6 Ft,0.193,0.47,0.73,0.636,0.601,0.035
4,202933,15,9,Less Than 10 Ft,0.298,0.53,1.13,0.471,0.562,-0.091
5,202933,15,12,Greater Than 15 Ft,0.579,0.53,2.2,0.242,0.349,-0.106
0,201585,71,71,Overall,1.0,3.51,7.39,0.474,0.488,-0.014
1,201585,71,51,3 Pointers,0.183,0.49,1.35,0.365,0.354,0.01
2,201585,71,71,2 Pointers,0.817,3.01,6.04,0.499,0.533,-0.035
3,201585,71,67,Less Than 6 Ft,0.469,2.01,3.46,0.581,0.628,-0.046
4,201585,71,68,Less Than 10 Ft,0.627,2.45,4.63,0.529,0.583,-0.054
5,201585,71,61,Greater Than 15 Ft,0.305,0.85,2.25,0.375,0.368,0.007
0,2403,52,52,Overall,1.0,3.06,7.06,0.433,0.459,-0.026
1,2403,52,45,3 Pointers,0.305,0.63,2.15,0.295,0.365,-0.071
2,2403,52,52,2 Pointers,0.695,2.42,4.9,0.494,0.507,-0.013
3,2403,52,46,Less Than 6 Ft,0.357,1.48,2.52,0.588,0.609,-0.021
4,2403,52,49,Less Than 10 Ft,0.482,1.83,3.4,0.537,0.554,-0.017
5,2403,52,49,Greater Than 15 Ft,0.466,1.04,3.29,0.316,0.37,-0.054
0,2546,76,76,Overall,1.0,5.24,11.01,0.476,0.466,0.01
1,2546,76,75,3 Pointers,0.369,1.34,4.07,0.33,0.362,-0.032
2,2546,76,74,2 Pointers,0.631,3.89,6.95,0.561,0.518,0.043
3,2546,76,74,Less Than 6 Ft,0.323,2.5,3.55,0.704,0.627,0.077
4,2546,76,74,Less Than 10 Ft,0.418,2.91,4.61,0.631,0.574,0.058
5,2546,76,76,Greater Than 15 Ft,0.511,2.0,5.63,0.355,0.371,-0.016
0,203952,80,80,Overall,1.0,6.19,13.31,0.465,0.455,0.01
1,203952,80,80,3 Pointers,0.429,2.09,5.71,0.365,0.361,0.005
2,203952,80,80,2 Pointers,0.571,4.1,7.6,0.539,0.509,0.03
3,203952,80,79,Less Than 6 Ft,0.289,2.66,3.85,0.692,0.62,0.071
4,203952,80,80,Less Than 10 Ft,0.371,3.11,4.94,0.63,0.571,0.059
5,203952,80,80,Greater Than 15 Ft,0.547,2.71,7.29,0.372,0.372,0.0
0,1626156,48,48,Overall,1.0,3.77,7.56,0.499,0.449,0.05
1,1626156,48,43,3 Pointers,0.328,1.08,2.48,0.437,0.352,0.085
2,1626156,48,47,2 Pointers,0.672,2.69,5.08,0.529,0.498,0.03
3,1626156,48,36,Less Than 6 Ft,0.273,1.52,2.06,0.737,0.61,0.128
4,1626156,48,40,Less Than 10 Ft,0.38,1.77,2.88,0.616,0.557,0.059
5,1626156,48,47,Greater Than 15 Ft,0.521,1.67,3.94,0.423,0.37,0.053
0,1627733,80,80,Overall,1.0,5.68,12.15,0.467,0.467,0.0
1,1627733,80,78,3 Pointers,0.328,1.53,3.99,0.382,0.363,0.02
2,1627733,80,80,2 Pointers,0.672,4.15,8.16,0.508,0.516,-0.008
3,1627733,80,75,Less Than 6 Ft,0.361,2.48,4.39,0.564,0.621,-0.057
4,1627733,80,79,Less Than 10 Ft,0.47,2.99,5.71,0.523,0.571,-0.048
5,1627733,80,79,Greater Than 15 Ft,0.469,2.39,5.7,0.419,0.373,0.046
0,203110,70,70,Overall,1.0,6.04,14.1,0.429,0.463,-0.035
1,203110,70,68,3 Pointers,0.323,1.56,4.56,0.342,0.357,-0.015
2,203110,70,70,2 Pointers,0.677,4.49,9.54,0.47,0.514,-0.044
3,203110,70,69,Less Than 6 Ft,0.371,2.86,5.23,0.546,0.616,-0.07
4,203110,70,70,Less Than 10 Ft,0.467,3.4,6.59,0.516,0.567,-0.05
5,203110,70,69,Greater Than 15 Ft,0.46,2.24,6.49,0.346,0.371,-0.025
0,203922,23,23,Overall,1.0,2.52,5.17,0.487,0.46,0.028
1,203922,23,17,3 Pointers,0.319,0.48,1.65,0.289,0.371,-0.082
2,203922,23,22,2 Pointers,0.681,2.04,3.52,0.58,0.51,0.07
3,203922,23,15,Less Than 6 Ft,0.277,1.09,1.43,0.758,0.633,0.125
4,203922,23,17,Less Than 10 Ft,0.395,1.43,2.04,0.702,0.577,0.125
5,203922,23,21,Greater Than 15 Ft,0.496,0.78,2.57,0.305,0.375,-0.07
0,1626172,62,62,Overall,1.0,3.16,7.69,0.411,0.461,-0.05
1,1626172,62,46,3 Pointers,0.289,0.84,2.23,0.377,0.354,0.023
2,1626172,62,59,2 Pointers,0.711,2.32,5.47,0.425,0.511,-0.087
3,1626172,62,55,Less Than 6 Ft,0.35,1.4,2.69,0.521,0.613,-0.092
4,1626172,62,59,Less Than 10 Ft,0.472,1.74,3.63,0.48,0.567,-0.087
5,1626172,62,54,Greater Than 15 Ft,0.465,1.23,3.58,0.342,0.363,-0.02
0,201939,51,51,Overall,1.0,4.02,8.51,0.472,0.446,0.027
1,201939,51,49,3 Pointers,0.41,1.27,3.49,0.365,0.36,0.005
2,201939,51,51,2 Pointers,0.59,2.75,5.02,0.547,0.495,0.052
3,201939,51,40,Less Than 6 Ft,0.24,1.57,2.04,0.769,0.603,0.166
4,201939,51,45,Less Than 10 Ft,0.355,2.0,3.02,0.662,0.548,0.114
5,201939,51,49,Greater Than 15 Ft,0.56,1.75,4.76,0.366,0.371,-0.005
0,1628395,57,57,Overall,1.0,3.74,7.91,0.472,0.46,0.012
1,1628395,57,43,3 Pointers,0.286,0.86,2.26,0.38,0.36,0.02
2,1628395,57,57,2 Pointers,0.714,2.88,5.65,0.509,0.514,-0.004
3,1628395,57,54,Less Than 6 Ft,0.452,1.84,3.58,0.515,0.61,-0.095
4,1628395,57,56,Less Than 10 Ft,0.559,2.28,4.42,0.516,0.559,-0.043
5,1628395,57,50,Greater Than 15 Ft,0.384,1.26,3.04,0.416,0.366,0.05
0,201142,67,67,Overall,1.0,5.09,12.09,0.421,0.457,-0.036
1,201142,67,65,3 Pointers,0.351,1.45,4.24,0.342,0.357,-0.015
2,201142,67,67,2 Pointers,0.649,3.64,7.85,0.464,0.512,-0.048
3,201142,67,66,Less Than 6 Ft,0.359,2.46,4.34,0.567,0.62,-0.053
4,201142,67,67,Less Than 10 Ft,0.446,2.79,5.39,0.518,0.568,-0.05
5,201142,67,67,Greater Than 15 Ft,0.485,1.97,5.87,0.336,0.367,-0.031
0,202691,73,73,Overall,1.0,4.66,10.4,0.448,0.45,-0.003
1,202691,73,72,3 Pointers,0.373,1.53,3.88,0.396,0.361,0.035
2,202691,73,73,2 Pointers,0.627,3.12,6.52,0.479,0.503,-0.024
3,202691,73,71,Less Than 6 Ft,0.295,1.92,3.07,0.625,0.612,0.013
4,202691,73,73,Less Than 10 Ft,0.411,2.23,4.27,0.522,0.561,-0.038
5,202691,73,73,Greater Than 15 Ft,0.51,2.15,5.3,0.406,0.373,0.033
0,1627362,14,14,Overall,1.0,3.86,6.14,0.628,0.438,0.19
1,1627362,14,11,3 Pointers,0.384,1.14,2.36,0.485,0.346,0.139
2,1627362,14,14,2 Pointers,0.616,2.71,3.79,0.717,0.515,0.202
3,1627362,14,14,Less Than 6 Ft,0.36,1.86,2.21,0.839,0.617,0.222
4,1627362,14,14,Less Than 10 Ft,0.477,2.29,2.93,0.78,0.561,0.219
5,1627362,14,12,Greater Than 15 Ft,0.453,1.43,2.79,0.513,0.358,0.155
0,203949,3,3,Overall,1.0,0.67,2.67,0.25,0.441,-0.191
1,203949,3,0,3 Pointers,,,,,,
2,203949,3,3,2 Pointers,1.0,0.67,2.67,0.25,0.502,-0.252
3,203949,3,3,Less Than 6 Ft,0.625,0.67,1.67,0.4,0.562,-0.162
4,203949,3,3,Less Than 10 Ft,0.875,0.67,2.33,0.286,0.523,-0.238
5,203949,3,1,Greater Than 15 Ft,0.125,0.0,0.33,0.0,0.408,-0.408
0,202327,61,61,Overall,1.0,2.82,6.57,0.429,0.464,-0.036
1,202327,61,38,3 Pointers,0.204,0.39,1.34,0.293,0.345,-0.052
2,202327,61,61,2 Pointers,0.796,2.43,5.23,0.464,0.51,-0.046
3,202327,61,58,Less Than 6 Ft,0.494,1.67,3.25,0.515,0.605,-0.09
4,202327,61,60,Less Than 10 Ft,0.623,2.0,4.1,0.488,0.556,-0.068
5,202327,61,46,Greater Than 15 Ft,0.324,0.7,2.13,0.331,0.353,-0.023
0,203463,55,55,Overall,1.0,3.15,6.31,0.499,0.451,0.048
1,203463,55,50,3 Pointers,0.438,1.18,2.76,0.428,0.359,0.068
2,203463,55,49,2 Pointers,0.562,1.96,3.55,0.554,0.505,0.049
3,203463,55,42,Less Than 6 Ft,0.297,1.27,1.87,0.68,0.615,0.065
4,203463,55,45,Less Than 10 Ft,0.366,1.42,2.31,0.614,0.568,0.046
5,203463,55,52,Greater Than 15 Ft,0.559,1.49,3.53,0.423,0.374,0.049
0,203998,9,9,Overall,1.0,1.33,3.56,0.375,0.461,-0.086
1,203998,9,6,3 Pointers,0.25,0.11,0.89,0.125,0.365,-0.24
2,203998,9,8,2 Pointers,0.75,1.22,2.67,0.458,0.533,-0.074
3,203998,9,6,Less Than 6 Ft,0.438,1.0,1.56,0.643,0.625,0.018
4,203998,9,7,Less Than 10 Ft,0.594,1.11,2.11,0.526,0.571,-0.044
5,203998,9,6,Greater Than 15 Ft,0.313,0.11,1.11,0.1,0.364,-0.264
0,203991,74,74,Overall,1.0,7.68,16.3,0.471,0.473,-0.002
1,203991,74,68,3 Pointers,0.197,1.23,3.22,0.382,0.367,0.016
2,203991,74,74,2 Pointers,0.803,6.45,13.08,0.493,0.516,-0.023
3,203991,74,74,Less Than 6 Ft,0.488,4.5,7.95,0.566,0.617,-0.051
4,203991,74,74,Less Than 10 Ft,0.602,5.41,9.81,0.551,0.567,-0.016
5,203991,74,72,Greater Than 15 Ft,0.342,1.99,5.57,0.357,0.378,-0.021
0,1627863,23,23,Overall,1.0,2.74,6.26,0.438,0.456,-0.018
1,1627863,23,17,3 Pointers,0.438,1.04,2.74,0.381,0.366,0.015
2,1627863,23,22,2 Pointers,0.563,1.7,3.52,0.481,0.512,-0.031
3,1627863,23,14,Less Than 6 Ft,0.215,0.74,1.35,0.548,0.621,-0.072
4,1627863,23,18,Less Than 10 Ft,0.326,1.09,2.04,0.532,0.579,-0.047
5,1627863,23,19,Greater Than 15 Ft,0.576,1.43,3.61,0.398,0.381,0.017
0,201935,72,72,Overall,1.0,5.71,12.33,0.463,0.457,0.005
1,201935,72,72,3 Pointers,0.393,1.89,4.85,0.39,0.363,0.026
2,201935,72,72,2 Pointers,0.607,3.82,7.49,0.51,0.513,-0.002
3,201935,72,68,Less Than 6 Ft,0.282,2.29,3.47,0.66,0.622,0.038
4,201935,72,72,Less Than 10 Ft,0.39,2.86,4.81,0.595,0.57,0.026
5,201935,72,72,Greater Than 15 Ft,0.526,2.53,6.49,0.39,0.373,0.017
0,200782,82,82,Overall,1.0,4.83,9.71,0.497,0.457,0.04
1,200782,82,81,3 Pointers,0.362,1.27,3.51,0.361,0.358,0.003
2,200782,82,82,2 Pointers,0.638,3.56,6.2,0.575,0.51,0.065
3,200782,82,78,Less Than 6 Ft,0.343,2.28,3.33,0.685,0.619,0.066
4,200782,82,81,Less Than 10 Ft,0.436,2.7,4.23,0.637,0.566,0.071
5,200782,82,82,Greater Than 15 Ft,0.492,1.78,4.78,0.372,0.368,0.004
0,203496,78,78,Overall,1.0,5.4,11.73,0.46,0.456,0.004
1,203496,78,78,3 Pointers,0.378,1.55,4.44,0.35,0.365,-0.015
2,203496,78,78,2 Pointers,0.622,3.85,7.29,0.527,0.506,0.021
3,203496,78,74,Less Than 6 Ft,0.285,2.26,3.35,0.674,0.625,0.05
4,203496,78,77,Less Than 10 Ft,0.383,2.72,4.49,0.606,0.567,0.038
5,203496,78,78,Greater Than 15 Ft,0.528,2.35,6.19,0.379,0.377,0.002
0,201566,78,78,Overall,1.0,3.68,8.17,0.451,0.458,-0.007
1,201566,78,76,3 Pointers,0.402,1.18,3.28,0.359,0.365,-0.005
2,201566,78,77,2 Pointers,0.598,2.5,4.88,0.512,0.51,0.002
3,201566,78,72,Less Than 6 Ft,0.311,1.55,2.54,0.611,0.618,-0.007
4,201566,78,74,Less Than 10 Ft,0.378,1.77,3.09,0.573,0.565,0.008
5,201566,78,77,Greater Than 15 Ft,0.543,1.6,4.44,0.361,0.377,-0.016
0,1627753,16,16,Overall,1.0,1.69,4.13,0.409,0.449,-0.04
1,1627753,16,9,3 Pointers,0.288,0.56,1.19,0.474,0.373,0.101
2,1627753,16,14,2 Pointers,0.712,1.13,2.94,0.383,0.49,-0.107
3,1627753,16,12,Less Than 6 Ft,0.485,0.81,2.0,0.406,0.576,-0.17
4,1627753,16,14,Less Than 10 Ft,0.561,0.88,2.31,0.378,0.545,-0.167
5,1627753,16,10,Greater Than 15 Ft,0.409,0.81,1.69,0.481,0.381,0.1
0,1628935,1,1,Overall,1.0,5.0,7.0,0.714,0.475,0.239
1,1628935,1,1,3 Pointers,0.286,0.0,2.0,0.0,0.352,-0.352
2,1628935,1,1,2 Pointers,0.714,5.0,5.0,1.0,0.509,0.491
3,1628935,1,1,Less Than 6 Ft,0.714,5.0,5.0,1.0,0.6,0.4
4,1628935,1,1,Less Than 10 Ft,0.714,5.0,5.0,1.0,0.559,0.441
5,1628935,1,1,Greater Than 15 Ft,0.286,0.0,2.0,0.0,0.361,-0.361
0,1627778,1,1,Overall,1.0,3.0,6.0,0.5,0.449,0.051
1,1627778,1,1,3 Pointers,0.5,1.0,3.0,0.333,0.419,-0.086
2,1627778,1,1,2 Pointers,0.5,2.0,3.0,0.667,0.491,0.176
3,1627778,1,1,Less Than 6 Ft,0.333,2.0,2.0,1.0,0.557,0.444
4,1627778,1,1,Less Than 10 Ft,0.333,2.0,2.0,1.0,0.507,0.493
5,1627778,1,1,Greater Than 15 Ft,0.667,1.0,4.0,0.25,0.414,-0.164
0,201601,61,61,Overall,1.0,4.07,9.1,0.447,0.459,-0.012
1,201601,61,60,3 Pointers,0.355,1.08,3.23,0.335,0.361,-0.026
2,201601,61,61,2 Pointers,0.645,2.98,5.87,0.508,0.511,-0.003
3,201601,61,58,Less Than 6 Ft,0.346,1.95,3.15,0.62,0.607,0.013
4,201601,61,59,Less Than 10 Ft,0.443,2.34,4.03,0.581,0.564,0.018
5,201601,61,60,Greater Than 15 Ft,0.479,1.49,4.36,0.342,0.37,-0.028
0,203900,4,4,Overall,1.0,2.0,4.25,0.471,0.471,-0.001
1,203900,4,4,3 Pointers,0.471,0.75,2.0,0.375,0.352,0.023
2,203900,4,3,2 Pointers,0.529,1.25,2.25,0.556,0.552,0.004
3,203900,4,3,Less Than 6 Ft,0.294,0.75,1.25,0.6,0.639,-0.039
4,203900,4,3,Less Than 10 Ft,0.353,0.75,1.5,0.5,0.584,-0.084
5,203900,4,4,Greater Than 15 Ft,0.588,1.0,2.5,0.4,0.359,0.041
0,204028,50,50,Overall,1.0,2.3,5.44,0.423,0.465,-0.042
1,204028,50,36,3 Pointers,0.254,0.4,1.38,0.29,0.36,-0.07
2,204028,50,49,2 Pointers,0.746,1.9,4.06,0.468,0.51,-0.043
3,204028,50,44,Less Than 6 Ft,0.463,1.22,2.52,0.484,0.614,-0.13
4,204028,50,45,Less Than 10 Ft,0.577,1.54,3.14,0.49,0.56,-0.07
5,204028,50,41,Greater Than 15 Ft,0.379,0.7,2.06,0.34,0.368,-0.028
0,1627817,3,3,Overall,1.0,0.67,1.33,0.5,0.412,0.088
1,1627817,3,1,3 Pointers,0.5,0.33,0.67,0.5,0.339,0.162
2,1627817,3,2,2 Pointers,0.5,0.33,0.67,0.5,0.476,0.025
3,1627817,3,1,Less Than 6 Ft,0.25,0.0,0.33,0.0,0.481,-0.481
4,1627817,3,1,Less Than 10 Ft,0.25,0.0,0.33,0.0,0.496,-0.496
5,1627817,3,1,Greater Than 15 Ft,0.5,0.33,0.67,0.5,0.337,0.163
0,1627786,19,19,Overall,1.0,2.11,5.0,0.421,0.442,-0.02
1,1627786,19,16,3 Pointers,0.421,0.74,2.11,0.35,0.355,-0.005
2,1627786,19,17,2 Pointers,0.579,1.37,2.89,0.473,0.501,-0.028
3,1627786,19,15,Less Than 6 Ft,0.305,0.74,1.53,0.483,0.613,-0.13
4,1627786,19,15,Less Than 10 Ft,0.389,0.95,1.95,0.486,0.555,-0.069
5,1627786,19,16,Greater Than 15 Ft,0.579,1.05,2.89,0.364,0.36,0.003
0,1626149,73,73,Overall,1.0,3.88,8.55,0.454,0.466,-0.013
