,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area
Luke Walton 2013,2575.0,1.0,0.0,4.0,5.0,8.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,1.0,1.0,2.0,0.0,6.0,0.0,6.0,14.0
Luke Zeller 2012,202545.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Luke Zeller 2013,202545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Luol Deng 2014,2736.0,5.0,9.0,12.0,10.0,4.0,0.0,0.0,16.0,8.0,11.0,0.0,5.0,3.0,7.0,4.0,0.0,10.0,1.0,24.0,84.0
Luther Head 2005,101129.0,11.0,9.0,9.0,11.0,6.0,0.0,0.0,2.0,0.0,9.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0
Luther Head 2006,101129.0,23.0,30.0,33.0,33.0,20.0,0.0,1.0,3.0,10.0,25.0,0.0,3.0,9.0,4.0,2.0,0.0,4.0,2.0,11.0,91.0
Luther Head 2007,101129.0,17.0,22.0,30.0,45.0,18.0,0.0,0.0,3.0,6.0,27.0,3.0,3.0,3.0,4.0,4.0,0.0,1.0,3.0,7.0,69.0
Luther Head 2008,101129.0,3.0,6.0,15.0,29.0,7.0,1.0,0.0,6.0,6.0,12.0,5.0,1.0,2.0,4.0,5.0,0.0,3.0,3.0,2.0,74.0
Luther Head 2009,101129.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lynn Greer 2007,2696.0,3.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,3.0,0.0,5.0,3.0,4.0,20.0
Maalik Wayns 2013,203146.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Maalik Wayns 2014,203146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maceo Baston 2006,1766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0
Maceo Baston 2007,1766.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,20.0
Maceo Baston 2008,1766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Maceo Baston 2009,1766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,18.0
Maciej Lampe 2005,2573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,2.0,4.0,13.0
Mahmoud Abdul-Rauf 2000,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Mahmoud Abdul-Rauf 2001,51.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,21.0,14.0,21.0,2.0,5.0,4.0,13.0,4.0,0.0,5.0,6.0,1.0,4.0
Malachi Richardson 2016,1627781.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Malachi Richardson 2017,1627781.0,2.0,3.0,5.0,4.0,1.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,13.0
Malachi Richardson 2018,1627781.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Malcolm Brogdon 2016,1627763.0,2.0,4.0,8.0,11.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,7.0,7.0,50.0
Malcolm Brogdon 2017,1627763.0,17.0,17.0,29.0,18.0,11.0,0.0,0.0,1.0,3.0,15.0,2.0,5.0,4.0,5.0,2.0,0.0,9.0,20.0,23.0,178.0
Malcolm Brogdon 2018,1627763.0,11.0,9.0,27.0,18.0,8.0,0.0,0.0,1.0,0.0,14.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,6.0,7.0,168.0
Malcolm Brogdon 2019,1627763.0,4.0,5.0,13.0,13.0,11.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,6.0,6.0,123.0
Malcolm Delaney 2016,1627098.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,3.0,7.0,2.0,0.0,0.0,2.0,2.0,6.0,0.0,14.0,1.0,5.0,9.0
Malcolm Delaney 2017,1627098.0,5.0,4.0,15.0,9.0,7.0,0.0,0.0,2.0,9.0,11.0,6.0,1.0,3.0,4.0,7.0,0.0,15.0,3.0,1.0,26.0
